Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0,0,7e-04,0,0,0,0,3e-04,0,0,0,0
1961-01-01,0,0,0,0,0,0,8e-04,0,0,0,0,4e-04,0,0,0,0
1962-01-01,0,0,0,0,0,0,0.001,0,0,0,0,5e-04,0,0,0,0
1963-01-01,0,0,0,0,0,0,0.0011,0,0,0,0,5e-04,0,0,0,0
1964-01-01,0,0,0,0,0,0,0.0012,0,0,0,0,5e-04,0,0,0,0
1965-01-01,0,0,0,0,0,0,0.0011,0,0,0,0,5e-04,0,0,0,0
1966-01-01,0,0,0,0,0,0,0.0013,0,0,0,0,6e-04,0,0,0,0
1967-01-01,0,0,0,0,0,0,0.0013,0,0,0,0,6e-04,0,0,0,0
1968-01-01,0,0,0,0,0,0,0.0015,0,0,0,0,7e-04,0,0,0,0
1969-01-01,0,0,0,0,0,0,0.0017,0,0,0,0,8e-04,0,0,0,0
1970-01-01,0,0,0,0,0,0,0.0019,0,0,0,0,9e-04,0,0,0,0
1971-01-01,0,0,0,0,0,0,0.0021,0,0,0,0,0.001,0,0,0,0
1972-01-01,0,0,0,0,0,0,0.0022,0,0,0,0,0.001,0,0,0,0
1973-01-01,0,0,0,0,0,0,0.0036,0,0,0,0,0.0017,0,0,0,0
1974-01-01,0,0,0,0,0,0,0.0038,0,0,0,0,0.0018,0,0,0,0
1975-01-01,0,0,0,0,0,0,0.0012,0,0,0,0,6e-04,0,0,0,0
1976-01-01,0,0,0,0,0,0,0.0019,0,0,0,0,9e-04,0,0,0,0
1977-01-01,0,0,0,0,0,0,0.0024,0,0,0,0,0.0011,0,0,0,0
1978-01-01,0,0,0,0,0,0,0.0029,0,0,0,0,0.0014,0,0,0,0
1979-01-01,0,0,0,0,0,0,0.0037,0,0,0,0,0.0017,0,0,0,0
1980-01-01,0,0,0,0,0,0,0.0049,0,0,0,0,0.0023,0,0,0,0
1981-01-01,0,0,0,0,0,0,0.006,0,0,0,0,0.0028,0,0,0,0
